target_id,GPCRS in Aging,reg. value
F57B1.9a,WBGene00045488,-3.6791013895997997
C15H11.2b,WBGene00007614,-3.4917315607406803
C56A3.3c,WBGene00008342,-2.69815118448947
C29F3.6,WBGene00005949,-2.5793203084086698
T27B2.1,WBGene00194821,-2.4449852744551204
F40A3.7,WBGene00018222,-2.07452359145026
K06C4.8,WBGene00019444,-1.54446937548686
R13D7.1,WBGene00006106,-1.5204662878151598
ZC266.1,WBGene00022584,-1.13779050628209
R13F6.3,WBGene00005712,-1.05930187978057
C25E10.3a,WBGene00016093,-0.9628359452378109
D1014.2,WBGene00017015,-0.9460900879875921
F55E10.7,WBGene00018886,-0.938978207274511
F10D7.1,WBGene00017338,-0.768461431609414
F42D1.3,WBGene00009629,-0.686468822263482
C52B11.3,WBGene00016872,-0.5763336160462329
K02F2.6,WBGene00004778,-0.522423194773195
F57C9.6,WBGene00019012,0.647396674475396
ZK418.7,WBGene00022736,0.657861257139315
F59D12.1,WBGene00010329,0.7865258887651558
Y22D7AR.13,WBGene00004779,0.7883795571283491
T27D1.3,WBGene00012084,0.9128471217439191
E04D5.2,WBGene00008481,0.9139112262774991
C30B5.5,WBGene00016246,0.915031398469588
C24A8.6,WBGene00044004,0.9600587997265959
W05B5.2,WBGene00012275,1.10548672754607
F22B8.5,WBGene00006075,1.4583849316872
B0334.6,WBGene00007146,1.5046666768302601
B0244.5,WBGene00015080,1.52751974098685
Y54G11B.1,WBGene00013222,1.5344304542869398
K10C8.2,WBGene00010735,1.5658503305057099
T02E9.3,WBGene00011382,1.58127972319547
T02E9.1,WBGene00011381,1.6239350255469098
R07D5.2,WBGene00011101,1.6510214790991298
B0286.2b,WBGene00002252,1.8652586829884499
C09H5.5,WBGene00006191,1.90496606992354
T02D1.6,WBGene00011372,1.92981170743146
Y48A6B.1,WBGene00012962,1.9310252440475801
C15H11.2a,WBGene00007614,1.9779855500177401
C01G12.7,WBGene00007247,2.01065588440548
K01B6.2,WBGene00005936,2.0447933531552698
T23B3.6,WBGene00020714,2.08221346888821
T28A11.15,WBGene00020877,2.22150773682665
T21B4.12,WBGene00006009,2.3162575530202405
T20C4.1,WBGene00005597,2.38972380453411
F13G3.2,WBGene00005131,2.43100970142392
B0286.2a,WBGene00002252,2.50513858122808
K01A6.6a,WBGene00010448,2.53135961013623
C54F6.10,WBGene00006097,2.74219664158431
Y61B8B.1,WBGene00005582,2.8472776957609804
C44B12.4,WBGene00005904,3.0790316035743497
H09F14.1a,WBGene00010375,3.20822703858678
F33H12.2,WBGene00005551,3.39980752755925
ZK813.5,WBGene00022824,3.58664853839448
T07H8.5,WBGene00005188,4.5564661996777005
