target_id,neuropeptide genes in Aging,reg. value
F35B12.7.2,WBGene00003762,-2.60297802196781
Y43F8C.2,WBGene00003764,-1.95588460589071
T19C4.7,WBGene00003771,-1.24031144457201
W07E11.4,WBGene00044686,-0.676623428523007
B0464.3.2,WBGene00007185,-0.420558402611324
B0464.3.1,WBGene00007185,-0.41720578640272
Y37D8A.15,WBGene00001457,0.5633616170342989
C36H8.3,WBGene00001452,0.618813641907525
Y48D7A.2.1,WBGene00001461,0.634981758265793
W07E11.2,WBGene00001446,0.7261749225575429
D1009.4a,WBGene00003752,0.733716315666518
F56F3.6,WBGene00002100,0.758546045139788
ZK1251.2a,WBGene00002090,0.781295085447627
ZK1320.10,WBGene00003749,0.87918592191522
B0213.6,WBGene00003769,0.9402555019836409
C01C4.1,WBGene00003739,1.04015437847465
F15D4.8,WBGene00001459,1.05042534929775
D2005.2,WBGene00003746,1.05117013286619
F45E4.8.1,WBGene00003758,1.07250849411404
F23B2.5b,WBGene00001444,1.09254617927737
C26F1.10,WBGene00001464,1.20045873292632
Y47D3B.2a,WBGene00003759,1.3597523540686598
ZK525.1,WBGene00001458,1.3703433193649799
F48B9.4,WBGene00018590,1.37748203396331
F13B12.5,WBGene00002084,1.38170574712217
F33D4.3,WBGene00001456,1.4166451111717702
F23B2.5a,WBGene00001444,1.6303292142313
ZK84.3,WBGene00002088,1.7168804942033702
T08G5.12,WBGene00002093,1.75457328037593
Y80D3A.10,WBGene00013588,1.80152378670348
T13A10.5a,WBGene00003754,1.87209866848378
ZC334.10,WBGene00002112,1.95908548057651
C03G5.7.2,WBGene00001448,1.99220668758847
ZC334.3,WBGene00002107,2.03490118652681
ZC334.1,WBGene00002109,2.07102743570415
D1009.4b,WBGene00003752,2.0810630554718
Y116F11B.1,WBGene00000920,2.22008532233596
M04D8.2,WBGene00002105,2.34483735498384
K04H4.7,WBGene00010575,2.5229007304474704
F30H5.2,WBGene00003770,2.5406149480989
ZC334.2,WBGene00002113,2.57477952358536
B0213.17,WBGene00015046,2.66056240199606
ZK75.2,WBGene00002085,2.9059329777378
T13A10.5b,WBGene00003754,3.2364874072201
C54C8.9,WBGene00008295,3.4659478074675203
