Genotype Beta< 0,Observed,Fold Change,Q value
0,uterine muscle(WBbt:0005342),9.706595152959872,19.0,1.9574320037656305,0.01839877483637632
1,intestine(WBbt:0005772),176.64521255462853,219.0,1.2397731975457473,0.00016835332227128845
2,sex organ(WBbt:0008422),52.16368692888359,78.0,1.4952930782354374,0.0018811306783828071
3,Tissue(WBbt:0005729),43.198053237981725,65.0,1.5046974372180504,0.004166911241712962
4,gonad(WBbt:0005175),82.39491458085023,103.0,1.2500771500761856,0.03223103267455217
5,alimentary system(WBbt:0005748),231.84684147794994,273.0,1.1775014844270113,0.00016835332227128845
6,blast cell(WBbt:0006783),16.893921334922528,28.0,1.6574008748412585,0.026884297565724254
7,extracellular component(WBbt:0005732),11.114421930870083,20.0,1.7994638069705093,0.031006476791346303
8,hermaphrodite somatic gonadal cell(WBbt:0007815),34.52880413190306,49.0,1.4191050409048545,0.03223103267455217
9,smooth muscle(WBbt:0005781),31.120381406436234,46.0,1.4781309842972041,0.025117614397809913
10,digestive tract(WBbt:0005743),226.4378228049265,265.0,1.1702991872885757,0.0002870667842944713
11,hermaphrodite-specific(WBbt:0005758),139.67123559793404,172.0,1.2314632949559454,0.004166911241712962
12,epithelial system(WBbt:0005730),122.33273738577671,154.0,1.2588617183833668,0.004166911241712962
13,muscular system(WBbt:0005737),136.18871672626142,160.0,1.1748403527555014,0.03223103267455217
14,egg-laying apparatus(WBbt:0008587),103.51231624950337,129.0,1.2462285134173,0.0158710809116582
15,germ line(WBbt:0005784),39.4191497814859,58.0,1.4713660827672397,0.012104362042904585
16,hypodermis(WBbt:0005733),110.32916170043703,140.0,1.2689301526655707,0.004415061561532104
17,pharynx(WBbt:0003681),134.18812077870479,160.0,1.1923559184785266,0.021224568181390926
