P0_Number;Day1;Day2;Day3;Day4
1;27;0;0;0
2;9;0;0;0
3;0;0;0;0
4;13;0;0;0
5;9;47;0;0
6;37;50;56;16
7;40;67;37;0
8;20;0;0;0
9;41;58;67;0
10;2;0;0;0
11;28;0;0;0
12;5;0;0;0
13;0;0;0;0
14;12;0;0;0
15;36;30;24;0
16;0;0;0;0
17;1;0;0;14
18;29;15;25;0
19;12;0;0;0
20;0;0;0;0
21;0;0;0;0
22;3;4;0;0
23;8;0;0;0
24;7;0;0;0
25;8;0;0;0
26;0;0;0;0
27;3;0;0;0
28;16;0;0;0
29;0;0;0;0
30;32;34;40;26
31;6;2;0;0
32;20;10;35;6
33;29;31;39;1
34;0;0;0;0
35;60;0;0;0
36;34;32;13;0
37;10;1;0;0
38;31;0;0;0
39;0;0;0;0
40;5;0;0;0
41;0;0;0;0
42;0;0;0;0
43;16;0;0;0
