P0_Number;Day1;Day2;Day3;Day4;Day5;Day6
1;1;0;0;0;0;0
2;1;0;0;0;0;0
3;1;1;1;1;1;0
4;1;0;0;0;0;0
5;1;1;0;0;0;0
6;1;1;1;1;1;0
7;1;1;1;1;1;0
8;1;0;0;0;0;0
9;1;1;1;0;0;0
10;1;1;1;1;1;1
11;1;1;1;1;1;1
12;1;0;0;0;0;0
13;1;0;0;0;0;0
14;1;0;0;0;0;0
15;1;1;1;1;1;1
16;1;1;1;1;1;1
17;1;0;0;0;0;0
18;1;1;1;0;0;0
19;1;0;0;0;0;0
20;1;0;0;0;0;0
21;1;0;0;0;0;0
22;1;1;1;1;1;1
23;1;0;0;0;0;0
24;1;1;1;1;1;1
25;1;1;1;1;1;1
26;1;0;0;0;0;0
27;1;1;1;1;1;1
28;1;1;0;0;0;0
29;1;0;0;0;0;0
30;1;1;1;1;0;0
31;1;1;1;1;1;1
32;1;1;1;1;1;1
33;1;1;1;1;1;0
34;1;0;0;0;0;0
35;1;0;0;0;0;0
36;1;1;1;0;0;0
37;1;1;0;0;0;0
38;1;0;0;0;0;0
39;1;0;0;0;0;0
40;1;0;0;0;0;0
41;1;1;1;1;1;1
42;1;1;0;0;0;0
43;1;0;0;0;0;0
