worm,rpm, DurF,DurB,DurFB,DurS,DistF,DistB,DistFB,SpdF,SpdB,SpdFB,Revs
worm10_P. redivivus_10,  5.40,  5.79  ,  1.19  ,  3.69   ,NaN,  1.03   ,  0.20   ,  0.65    ,  0.17  , -0.17  ,  0.17   , 27
worm12_P. redivivus_12,  2.00, 12.77  ,  0.43  ,  7.40   ,NaN,  3.31   ,  0.10   ,  1.92    ,  0.25  , -0.26  ,  0.25   , 10
worm14_P. redivivus_14, 10.80,  2.61  ,  1.01  ,  1.84   ,0.17,  0.33   ,  0.10   ,  0.22    ,  0.13  , -0.10  ,  0.12   , 54
worm16_P. redivivus_16,  6.40,  3.17  ,  0.68  ,  2.23   ,0.17,  0.48   ,  0.09   ,  0.33    ,  0.15  , -0.12  ,  0.14   , 32
worm18_P. redivivus_18,  2.60,  3.60  ,  0.50  ,  2.38   ,NaN,  0.56   ,  0.06   ,  0.36    ,  0.15  , -0.11  ,  0.15   , 13
worm20_P. redivivus_20,  3.40,  8.23  ,  1.01  ,  5.14   ,NaN,  1.62   ,  0.15   ,  0.99    ,  0.18  , -0.14  ,  0.18   , 17
worm2_P. redivivus_2  ,  5.00,  6.98  ,  0.88  ,  4.04   ,NaN,  2.07   ,  0.24   ,  1.19    ,  0.29  , -0.27  ,  0.29   , 25
worm4_P. redivivus_4  ,  3.40,  4.88  ,  1.44  ,  3.43   ,NaN,  1.12   ,  0.30   ,  0.77    ,  0.22  , -0.20  ,  0.21   , 17
worm6_P. redivivus_6  ,  5.00,  5.56  ,  1.50  ,  3.74   ,NaN,  1.03   ,  0.27   ,  0.69    ,  0.18  , -0.18  ,  0.18   , 25
worm8_P. redivivus_8  ,  3.80,  8.70  ,  1.20  ,  5.11   ,NaN,  2.33   ,  0.32   ,  1.37    ,  0.27  , -0.27  ,  0.27   , 19
